up,dn,up_id,dn_id,basin,dist_km,coupling,obs_lag_h,pred_lag_h,Tp,cg_ms
18,12,44063,44008,Mid-Atlantic,638.2744821544577,0.2667435350353259,21,39.61168,5.7335367,4.475914
19,12,44065,44008,Mid-Atlantic,376.62424116953673,0.7042560981874889,10,17.038939,7.865097,6.139928
20,12,44072,44008,Mid-Atlantic,709.0825704665142,0.3120446122973558,13,37.45197,6.736906,5.259199
21,12,44086,44008,Mid-Atlantic,734.6660408486746,0.46015992719084503,13,31.322514,8.345872,6.515247
22,12,44087,44008,Mid-Atlantic,708.8822802488565,0.4331164969958923,13,34.95463,7.2161856,5.633352
23,12,44088,44008,Mid-Atlantic,649.9356339333204,0.5989479118774892,10,28.510756,8.111477,6.3322654
24,12,44089,44008,Mid-Atlantic,605.8649974943461,0.575789402083192,14,26.259367,8.209751,6.408983
25,12,44091,44008,Mid-Atlantic,392.21696632869384,0.737953634792076,9,17.523918,7.9640417,6.217169
26,12,44095,44008,Mid-Atlantic,748.9237042607253,0.46511430644494545,13,32.22247,8.270222,6.4561896
27,12,44099,44008,Mid-Atlantic,688.0844998592235,0.5016245704724613,14,30.214794,8.103273,6.325861
28,12,44100,44008,Mid-Atlantic,726.221569160009,0.4687896530203673,12,31.062487,8.319003,6.4942713
13,14,44009,44014,Mid-Atlantic,206.88436791116493,0.797692051479673,1,9.33309,7.8875217,6.1574335
13,15,44009,44025,Mid-Atlantic,238.69863630697398,0.7780726119389971,2,11.159117,7.611294,5.9417944
13,16,44009,44056,Mid-Atlantic,267.04747639498424,0.622429588393594,0,11.377485,8.351809,6.5198812
17,13,44062,44009,Mid-Atlantic,150.29966196299978,0.4923544703660769,4,8.962324,5.9672704,4.6583796
18,13,44063,44009,Mid-Atlantic,162.29913610842635,0.37498908275128234,6,10.424859,5.539676,4.324576
13,19,44009,44065,Mid-Atlantic,228.5989262760909,0.7766600313609524,1,10.598164,7.6750627,5.9915757
20,13,44072,44009,Mid-Atlantic,196.73621915581657,0.4741889048839982,2,10.709459,6.536648,5.102867
13,21,44009,44086,Mid-Atlantic,280.93929140465116,0.697342018145589,0,12.256932,8.155847,6.3669024
22,13,44087,44009,Mid-Atlantic,201.95353186146224,0.6823924653842809,2,10.260491,7.0036054,5.467399
13,23,44009,44088,Mid-Atlantic,205.89651211828527,0.8036501698483782,1,9.246224,7.9236073,6.1856036
24,13,44089,44009,Mid-Atlantic,95.89137348595852,0.8939571561058951,2,4.2558427,8.017378,6.258806
13,25,44009,44091,Mid-Atlantic,166.20247297646497,0.8586705250046512,1,7.606736,7.774589,6.069272
26,13,44095,44009,Mid-Atlantic,306.60114742169503,0.674134233057125,1,13.50064,8.080864,6.308367
27,13,44099,44009,Mid-Atlantic,194.2346577063372,0.7989409214635335,1,8.735656,7.911695,6.1763043
13,28,44009,44100,Mid-Atlantic,257.57704048539665,0.7197791429594562,0,11.289857,8.118151,6.337475
14,15,44014,44025,Mid-Atlantic,431.4074957570615,0.5541280021680436,2,19.98132,7.682488,5.9973726
16,14,44056,44014,Mid-Atlantic,90.38063264009435,0.8317255546311921,1,3.8099713,8.440964,6.5894804
17,14,44062,44014,Mid-Atlantic,257.8594705407628,0.43475619573202295,6,15.343669,5.9798765,4.6682205
18,14,44063,44014,Mid-Atlantic,298.16083017272956,0.2899791797832896,9,19.162622,5.5364842,4.322084
14,19,44014,44065,Mid-Atlantic,430.1548987909238,0.5562815642895773,1,19.771362,7.7415266,6.043462
20,14,44072,44014,Mid-Atlantic,143.40935947306977,0.5192724611237709,4,7.7672024,6.5697865,5.1287365
14,21,44014,44086,Mid-Atlantic,84.96845623889746,0.9075989680556161,0,3.671007,8.235896,6.4293933
22,14,44087,44014,Mid-Atlantic,124.97488316770703,0.7723052261330912,3,6.302753,7.0555496,5.50795
24,14,44089,44014,Mid-Atlantic,135.30049716625518,0.817649447842394,2,5.947648,8.094545,6.3190475
14,25,44014,44091,Mid-Atlantic,364.52095594164956,0.6309514288266973,1,16.536348,7.8437047,6.1232276
26,14,44095,44014,Mid-Atlantic,104.66307160053682,0.8982389687266313,1,4.564765,8.158558,6.369019
27,14,44099,44014,Mid-Atlantic,86.13520974815012,0.895960178303731,2,3.838087,7.9855394,6.233951
16,15,44056,44025,Mid-Atlantic,502.7236591491686,0.3307668435351181,10,21.840193,8.190515,6.393966
17,15,44062,44025,Mid-Atlantic,336.56953474598066,0.3934969658674676,5,21.402504,5.5956244,4.3682523
18,15,44063,44025,Mid-Atlantic,315.1644626267184,0.3432531425404821,10,21.859922,5.130114,4.004849
20,15,44072,44025,Mid-Atlantic,432.8767989793346,0.3184106813047991,2,24.784267,6.2147923,4.8516088
