baseline,config,mechanism,target,metric,mean,std,n_seeds
spatial_idw,block_50,block,APD,MAE,0.8893416270018002,0.023307131739912383,3
spatial_idw,block_50,block,APD,MRE,0.1530246954816246,0.004433947561247638,3
spatial_idw,block_50,block,APD,RMSE,1.2335234184300328,0.036105987714919525,3
spatial_idw,block_50,block,WVHT,MAE,0.43721248181316624,0.011647373252301741,3
spatial_idw,block_50,block,WVHT,MRE,0.33585041576375047,0.007875805405246648,3
spatial_idw,block_50,block,WVHT,RMSE,0.6397070688613483,0.019605263865033983,3
spatial_idw,mcar_10,mcar,APD,MAE,0.7602908651864935,0.0023150657491768285,3
spatial_idw,mcar_10,mcar,APD,MRE,0.12693873319141705,0.00029816851169895287,3
spatial_idw,mcar_10,mcar,APD,RMSE,1.0879332067989305,0.003923148038010985,3
spatial_idw,mcar_10,mcar,WVHT,MAE,0.3758247917341888,0.0016611517324250735,3
spatial_idw,mcar_10,mcar,WVHT,MRE,0.26590473180587665,0.0008230424510570601,3
spatial_idw,mcar_10,mcar,WVHT,RMSE,0.5876792107060621,0.0035675451201062263,3
spatial_idw,mcar_30,mcar,APD,MAE,0.7949463513882855,0.0006779546733185696,3
spatial_idw,mcar_30,mcar,APD,MRE,0.13269234725996462,9.949029873540252e-05,3
spatial_idw,mcar_30,mcar,APD,RMSE,1.1341235054047976,0.0015584964375079718,3
spatial_idw,mcar_30,mcar,WVHT,MAE,0.39911536637489897,0.0006480353936163479,3
spatial_idw,mcar_30,mcar,WVHT,MRE,0.281983157928743,0.00010288007478597859,3
spatial_idw,mcar_30,mcar,WVHT,RMSE,0.6240320163581466,0.0006500937335881864,3
spatial_idw,mcar_50,mcar,APD,MAE,0.8437839558363871,0.0011898664785641845,3
spatial_idw,mcar_50,mcar,APD,MRE,0.1408560351509,0.00016310155944647018,3
spatial_idw,mcar_50,mcar,APD,RMSE,1.1995405102560506,0.0013066065333144105,3
spatial_idw,mcar_50,mcar,WVHT,MAE,0.42980881359976686,0.000702255380597023,3
spatial_idw,mcar_50,mcar,WVHT,MRE,0.3037292416043816,0.0004902407549834275,3
spatial_idw,mcar_50,mcar,WVHT,RMSE,0.6685751077459502,0.001157929418741351,3
spatial_idw,station_outage_720,station_outage,APD,MAE,0.9488260416742281,0.2588616800353737,3
spatial_idw,station_outage_720,station_outage,APD,MRE,0.13946587816017228,0.04192126025204869,3
spatial_idw,station_outage_720,station_outage,APD,RMSE,1.2892154854539022,0.37892876828243205,3
spatial_idw,station_outage_720,station_outage,WVHT,MAE,0.5990586213321508,0.08176612111016203,3
